disorientation  n.迷失方向;[心]迷向
resurgence  n.再起，复活，再现
contracted  adj.合同所规定的
journey  n.旅行
underline  vt.划线于…之下;强调
underling  n.下属,手下
informative  adj.提供资料的
extirpate  v.消灭,根除
salary  n.薪水
pollution  n.污染
spontaneous  a.自发的,无意识的;自然的,天真率直的
walker  n.步行者，散步者
renowned  adj.著名的
effective  a.有效的，生效的；被实施的；给人深刻印象
